asteroid-big-020,0,0,32,32
asteroid-big-019,32,0,30,30
asteroid-big-018,0,32,26,28
asteroid-big-017,26,32,25,26
asteroid-big-000,0,60,22,22
asteroid-big-001,22,60,22,22
asteroid-big-002,62,0,22,22
asteroid-big-003,62,22,22,22
asteroid-big-004,62,44,22,22
asteroid-big-005,0,82,22,22
asteroid-big-006,22,82,22,22
asteroid-big-007,44,82,22,22
asteroid-big-008,84,0,22,22
asteroid-big-009,84,22,22,22
asteroid-big-010,84,44,22,22
asteroid-big-011,84,66,22,22
asteroid-big-012,0,104,22,22
asteroid-big-013,22,104,22,22
asteroid-big-014,44,104,22,22
asteroid-big-015,66,104,22,22
asteroid-big-016,106,0,21,22
asteroid-med-020,44,60,17,17
asteroid-med-019,62,66,15,16
asteroid-med-018,84,88,13,15
asteroid-med-017,66,82,13,13
asteroid-med-016,51,32,11,12
asteroid-med-000,51,44,11,11
asteroid-med-001,88,104,11,11
asteroid-med-002,88,115,11,11
asteroid-med-003,106,22,11,11
asteroid-med-004,106,33,11,11
asteroid-med-005,106,44,11,11
asteroid-med-006,106,55,11,11
asteroid-med-007,106,66,11,11
asteroid-med-008,106,77,11,11
asteroid-med-009,106,88,11,11
asteroid-med-010,106,99,11,11
asteroid-med-011,106,110,11,11
asteroid-med-012,0,126,11,11
asteroid-med-013,11,126,11,11
asteroid-med-014,22,126,11,11
asteroid-med-015,33,126,11,11
blast-big-000,66,95,11,7
blast-big-002,77,66,7,11
blast-big-004,44,126,11,7
blast-big-006,99,104,7,11
stars-001,55,126,11,11
asteroid-sml-018,117,22,10,10
asteroid-sml-019,117,33,10,10
blast-big-001,117,44,10,9
blast-big-003,117,55,10,10
blast-big-005,117,66,10,9
blast-big-007,117,77,10,9
asteroid-sml-017,97,88,9,8
asteroid-sml-000,97,96,8,7
asteroid-sml-001,117,88,8,7
asteroid-sml-002,117,99,8,7
asteroid-sml-003,117,110,8,7
asteroid-sml-004,117,117,8,7
asteroid-sml-005,117,32,8,7
asteroid-sml-006,117,43,8,7
asteroid-sml-007,117,53,8,7
asteroid-sml-008,117,65,8,7
asteroid-sml-009,117,75,8,7
asteroid-sml-010,117,86,8,7
asteroid-sml-011,117,95,8,7
asteroid-sml-012,117,106,8,7
asteroid-sml-013,117,39,8,7
asteroid-sml-014,117,50,8,7
asteroid-sml-015,117,60,8,7
asteroid-sml-016,99,115,7,6
blast-med-000,77,95,7,7
blast-med-001,99,115,7,7
blast-med-002,117,72,7,7
blast-med-003,117,82,7,7
blast-med-004,117,93,7,7
blast-med-005,117,102,7,7
blast-med-006,117,113,7,7
blast-med-007,117,46,7,7
boom-big-002,117,57,7,7
boom-big-003,117,67,7,7
boom-big-004,117,79,7,7
boom-big-005,117,89,7,7
boom-big-006,44,77,5,5
stars-000,79,82,5,5
boom-med-002,44,133,4,4
boom-med-003,99,122,4,4
boom-med-004,48,133,4,4
boom-med-005,52,133,4,4
blast-sml-000,124,72,3,3
blast-sml-001,124,82,3,3
blast-sml-002,124,93,3,3
blast-sml-003,124,102,3,3
blast-sml-004,124,113,3,3
blast-sml-005,124,46,3,3
blast-sml-006,124,57,3,3
blast-sml-007,124,67,3,3
boom-big-001,124,79,3,3
boom-big-007,124,89,3,3
boom-med-006,103,122,3,3
boom-sml-002,124,75,3,3
boom-sml-003,124,85,3,3
boom-sml-004,124,96,3,3
boom-sml-005,124,105,3,3
asteroid-sml-020,61,60,1,1
boom-big-000,84,103,1,1
boom-big-008,105,96,1,1
boom-med-000,97,103,1,1
boom-med-001,103,125,1,1
boom-med-007,61,61,1,1
boom-med-008,85,103,1,1
boom-sml-000,105,97,1,1
boom-sml-001,98,103,1,1
boom-sml-006,104,125,1,1
boom-sml-007,61,62,1,1
boom-sml-008,86,103,1,1
stars-002,105,98,1,1
